Title,Score,Year,Genre,Released,Critics,Perspective,Gameplay,Interface,Setting
Super Mario Odyssey,9.4,2017,['Action'],October,96,['Behind view'],['Platform'],['Direct control'],['Fantasy']
The Legend of Zelda: Breath of the Wild,9.4,2017,['Action'],March,96,['Behind view'],"['Puzzle elements', 'Role-playing elements', 'Sandbox / open world']","['Direct control', 'Motion control']","['Fantasy', 'Post-apocalyptic', 'Sci-fi / futuristic']"
The Legend of Zelda: Tears of the Kingdom,9.3,2023,['Action'],May,95,['Behind view'],"['Puzzle elements', 'Role-playing elements', 'Sandbox / open world']",['Direct control'],['Fantasy']
Metroid Prime: Remastered,9.3,2023,['Action'],February,94,['1st-person'],['Metroidvania'],['Direct control'],['Sci-fi / futuristic']
Hollow Knight,9.1,2018,['Action'],February,93,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Fantasy']
Mario Kart 8 Deluxe,9.0,2017,['Racing / Driving'],April,93,['Behind view'],['Arcade'],"['Direct control', 'Motion control']",['Fantasy']
Celeste,8.9,2018,['Action'],January,91,['Side view'],['Platform'],['Direct control'],['Fantasy']
Super Mario Bros. Wonder,8.9,2023,['Action'],October,90,['Side view'],['Platform'],['Direct control'],['Fantasy']
Persona 5: Royal,8.9,2022,"['Role-playing (RPG)', 'Compilation']",October,95,['Behind view'],"['Japanese-style', 'Role-playing']","['Direct control', 'Menu structures']","['Asia', 'Contemporary', 'Fantasy']"
Hades,8.9,2020,['Role-playing (RPG)'],December,94,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash', 'Roguelike']",['Direct control'],"['Classical antiquity', 'Fantasy']"
Super Smash Bros. Ultimate,8.9,2018,['Action'],December,93,['Side view'],['Fighting'],,
Xenoblade Chronicles 3,8.8,2022,['Role-playing (RPG)'],July,91,['3rd-person'],"['Action', 'Role-playing', 'Japanese-style', 'Role-playing', 'Sandbox / open world']",,['Fantasy']
Bayonetta 2,8.8,2018,['Action'],September,92,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Metroid Dread,8.8,2021,['Action'],October,90,['Side view'],"['Metroidvania', 'Platform', 'Shooter']",['Direct control'],['Sci-fi / futuristic']
Paper Mario: The Thousand-Year Door,8.7,2024,['Role-playing (RPG)'],May,88,"['Behind view', 'Side view']","['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Inside,8.7,2018,['Action'],June,90,['Side view'],"['Platform', 'Puzzle elements', 'Stealth']",['Direct control'],
Tetris Effect,8.7,2021,"['Action', 'Puzzle']",November,92,['Side view'],['Falling block puzzle'],['Direct control'],
Super Mario 3D World + Bowser’s Fury,8.7,2021,['Action'],2021,88,['3rd-person'],['Platform'],['Direct control'],
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,8.7,2019,['Role-playing (RPG)'],September,92,['3rd-person'],"['Action', 'Role-playing', 'Sandbox / open world']",['Direct control'],['Fantasy']
The House in Fata Morgana: Dreams of the Revenants Edition,8.6,2021,"['Adventure', 'Compilation']",2019,92,['1st-person'],['Visual novel'],,
Lorelei and the Laser Eyes,8.6,2024,"['Adventure', 'Puzzle']",May,88,"['1st-person', '3rd-person']",,"['Direct control', 'Point and select']",['Europe']
Chained Echoes,8.6,2022,['Role-playing (RPG)'],December,90,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Theatrhythm: Final Bar Line,8.6,2023,['Action'],February,87,['Side view'],['Music / rhythm'],['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Super Mario Maker 2,8.6,2019,['Action'],June,90,['Side view'],['Platform'],"['Direct control', 'Point and select']",
Mario + Rabbids: Sparks of Hope,8.6,2022,['Role-playing (RPG)'],October,86,['Diagonal-down'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
Undertale,8.6,2018,['Role-playing (RPG)'],September,91,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Menu structures'],['Fantasy']
13 Sentinels: Aegis Rim,8.6,2022,"['Adventure', 'Strategy / tactics']",November,88,"['Diagonal-down', 'Side view']","['Graphic adventure', 'Puzzle elements', 'Role-playing elements']","['Direct control', 'Point and select']","['Fantasy', 'Japan', 'Japan', 'Post-apocalyptic', 'Sci-fi / futuristic']"
Kirby and the Forgotten Land,8.5,2022,['Action'],March,88,"['3rd-person', 'Diagonal-down']",['Platform'],['Direct control'],['Fantasy']
Monster Hunter: Rise,8.5,2021,['Role-playing (RPG)'],March,88,['Behind view'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Persona 4 Golden,8.5,2023,['Role-playing (RPG)'],June,93,['3rd-person'],,,['Fantasy']
Minecraft: Nintendo Switch Edition,8.5,2017,['Action'],May,88,"['1st-person', '3rd-person']",['Sandbox / open world'],,['Fantasy']
Balatro,8.5,2024,['Strategy / tactics'],February,92,"['1st-person', 'Top-down']","['Cards / tiles', 'Roguelike']",['Point and select'],
Tsukihime: A piece of blue glass moon,8.5,2021,['Adventure'],August,92,['1st-person'],['Visual novel'],['Menu structures'],"['Contemporary', 'Fantasy']"
Shin Megami Tensei V,8.5,2021,['Role-playing (RPG)'],November,88,"['3rd-person', 'Behind view']",,['Direct control'],"['Fantasy', 'Japan', 'Post-apocalyptic']"
Atari 50: The Anniversary Celebration,8.5,2022,"['Action', 'Educational', 'Compilation']",November,87,,['Arcade'],"['Direct control', 'Point and select']",
Animal Well,8.5,2024,['Action'],May,90,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Fantasy']
Diablo III: Eternal Collection,8.5,2018,"['Role-playing (RPG)', 'Compilation']",June,88,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Stardew Valley,8.5,2017,"['Simulation', 'Role-playing (RPG)']",February,91,['Diagonal-down'],['City building / construction simulation'],['Direct control'],
Xenoblade Chronicles: Definitive Edition,8.5,2020,['Role-playing (RPG)'],May,91,['3rd-person'],"['Action', 'Role-playing', 'Japanese-style', 'Role-playing', 'Sandbox / open world']",['Direct control'],['Fantasy']
Animal Crossing: New Horizons,8.4,2020,['Simulation'],March,89,['Diagonal-down'],['Life / social simulation'],['Direct control'],
The Messenger,8.4,2018,['Action'],August,86,['Side view'],"['Platform', 'Puzzle elements']",['Direct control'],"['Asia', 'Fantasy']"
AI: The Somnium Files,8.4,2019,['Adventure'],September,84,['1st-person'],"['Japanese-style adventure', 'Puzzle elements', 'Quick', 'Time', 'Events']",['Point and select'],"['Japan', 'Sci-fi / futuristic']"
The Legend of Zelda: Link's Awakening,8.4,2019,['Action'],September,88,"['Diagonal-down', 'Side view']","['Metroidvania', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Fantasy']
Return to Monkey Island,8.4,2022,['Adventure'],September,87,['3rd-person'],"['Graphic adventure', 'Puzzle elements']",['Point and select'],"['Fantasy', 'Sea pirates /', 'Caribbean']"
Rocket League,8.4,2017,"['Sports', 'Racing / Driving']",July,86,['Behind view'],,['Direct control'],['Sci-fi / futuristic']
The Elder Scrolls V: Skyrim - Special Edition,8.4,2017,"['Role-playing (RPG)', 'Compilation']",October,87,"['1st-person', 'Behind view']","['Action', 'Role-playing', 'Sandbox / open world']",['Direct control'],['Fantasy']
Monster Boy and the Cursed Kingdom,8.4,2018,['Action'],December,87,['Side view'],"['Metroidvania', 'Platform', 'Role-playing elements']",['Direct control'],['Fantasy']
Donkey Kong Country: Tropical Freeze,8.4,2018,['Action'],February,85,['Side view'],['Platform'],,
Castlevania: Dominus Collection,8.4,2024,"['Action', 'Role-playing (RPG)', 'Compilation']",August,91,['Side view'],"['Metroidvania', 'Platform']",,"['Europe', 'Fantasy']"
Ori and the Blind Forest: Definitive Edition,8.4,2019,['Action'],March,92,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",,['Fantasy']
Unavowed,8.4,2021,['Adventure'],August,89,['3rd-person'],['Graphic adventure'],['Point and select'],"['Fantasy', 'North', 'America']"
Tactics Ogre: Reborn,8.4,2022,"['Strategy / tactics', 'Role-playing (RPG)']",November,86,['Diagonal-down'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
Jack Jeanne,8.4,2021,['Simulation'],March,88,,"['Music / rhythm', 'Visual novel']",['Point and select'],['Japan']
NEO: The World Ends with You,8.4,2021,['Role-playing (RPG)'],July,88,"['3rd-person', 'Diagonal-down']","['Action', 'Role-playing']",['Direct control'],['Fantasy']
Shovel Knight: Treasure Trove,8.4,2017,"['Action', 'Compilation']",November,88,['Side view'],['Platform'],,
Pikmin 4,8.4,2023,"['Action', 'Strategy / tactics', 'Puzzle']",July,86,['3rd-person'],,"['Direct control', 'Multiple units/characters control']","['Contemporary', 'Fantasy', 'Sci-fi / futuristic']"
Sonic Mania Plus,8.3,2018,"['Compilation', 'Special edition']",July,88,,,,
Streets of Rage 4,8.3,2020,['Action'],2020,86,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],
A Space for the Unbound,8.3,2023,['Adventure'],January,85,['Side view'],"['Puzzle elements', 'Visual novel']","['Direct control', 'Point and select']","['Asia', 'Fantasy']"
A Short Hike,8.3,2020,['Action'],April,88,['Diagonal-down'],"['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
The Legend of Zelda: Echoes of Wisdom,8.3,2024,['Action'],September,85,['Diagonal-down'],"['Puzzle elements', 'Role-playing elements', 'Sandbox / open world']",['Direct control'],['Fantasy']
Pikmin 3 Deluxe,8.3,2020,"['Action', 'Strategy / tactics', 'Puzzle']",October,85,['3rd-person'],,"['Direct control', 'Multiple units/characters control']","['Contemporary', 'Fantasy', 'Sci-fi / futuristic']"
Axiom Verge,8.3,2017,['Action'],March,87,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements', 'Shooter']",,['Sci-fi / futuristic']
Cave Story+,8.3,2017,['Action'],June,88,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements', 'Shooter']",,['Fantasy']
Nobody Saves the World,8.3,2022,['Role-playing (RPG)'],January,81,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Direct control'],['Fantasy']
The Stanley Parable: Ultra Deluxe,8.3,2022,['Adventure'],April,90,['1st-person'],,['Direct control'],['Contemporary']
Luigi's Mansion 3,8.3,2019,['Action'],October,88,"['Behind view', 'Side view']",['Puzzle elements'],['Direct control'],
Neon White,8.3,2022,['Action'],June,89,['1st-person'],"['Platform', 'Shooter']",['Direct control'],['Fantasy']
Splatoon 3,8.3,2022,['Action'],September,86,['Behind view'],['Shooter'],['Direct control'],['Fantasy']
Ace Attorney Investigations Collection,8.3,2024,"['Adventure', 'Simulation', 'Compilation']",September,84,['1st-person'],['Puzzle elements'],['Menu structures'],
Super Mario RPG,8.3,2023,"['Action', 'Role-playing (RPG)']",November,84,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
The Binding of Isaac: Afterbirth+,8.3,2017,['Action'],March,86,['Diagonal-down'],"['Roguelike', 'Shooter']",,
Fire Emblem: Three Houses,8.3,2019,"['Action', 'Strategy / tactics', 'Role-playing (RPG)']",July,88,"['1st-person', '3rd-person', 'Diagonal-down']","['Japanese-style', 'Role-playing', 'Puzzle elements', 'Turn-based strategy']","['Direct control', 'Point and select']",['Fantasy']
Mario + Rabbids: Kingdom Battle,8.3,2017,['Role-playing (RPG)'],August,85,['Diagonal-down'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
Teenage Mutant Ninja Turtles: Shredder's Revenge,8.3,2022,['Action'],June,86,['Side view'],"[""Beat 'em up / brawler""]",['Direct control'],"['Fantasy', 'North', 'America']"
Ōkami,8.3,2018,['Action'],April,92,['Behind view'],"['Metroidvania', 'Puzzle elements']",['Direct control'],"['Fantasy', 'Japan']"
Sea of Stars,8.3,2023,['Role-playing (RPG)'],August,89,['Top-down'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
SteamWorld Dig 2,8.3,2017,['Action'],September,88,['Side view'],"['Metroidvania', 'Puzzle elements']",['Direct control'],['Steampunk']
BlazBlue: Central Fiction (Special Edition),8.3,2019,['Action'],February,84,['Side view'],['Fighting'],,
Sonic Mania,8.3,2017,['Action'],August,86,['Side view'],['Platform'],['Direct control'],['Fantasy']
30XX,8.2,2023,['Action'],February,84,['Side view'],"['Platform', 'Roguelike', 'Shooter']",['Direct control'],['Sci-fi / futuristic']
BioShock: The Collection,8.2,2020,"['Action', 'Compilation']",September,84,['1st-person'],['Shooter'],['Direct control'],"['Sci-fi / futuristic', 'Steampunk']"
Beacon Pines,8.2,2022,['Adventure'],September,86,['Diagonal-down'],['Visual novel'],['Direct control'],['Fantasy']
Ori and the Will of the Wisps,8.2,2020,['Action'],March,90,['Side view'],"['Metroidvania', 'Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
Octopath Traveler II,8.2,2023,['Role-playing (RPG)'],February,85,"['Diagonal-down', 'Side view']","['Japanese-style', 'Role-playing']","['Direct control', 'Menu structures', 'Multiple units/characters control']",['Fantasy']
Hyper Light Drifter: Special Edition,8.2,2018,['Role-playing (RPG)'],September,87,['Diagonal-down'],"['Action', 'Role-playing', 'Platform']",['Direct control'],"['Fantasy', 'Post-apocalyptic', 'Sci-fi / futuristic']"
Steins;Gate Elite,8.2,2018,['Adventure'],September,84,"['1st-person', '3rd-person']",['Visual novel'],,
AI: The Somnium Files - nirvanA Initiative,8.2,2022,['Adventure'],June,87,['3rd-person'],['Puzzle elements'],['Menu structures'],"['Japan', 'Sci-fi / futuristic']"
Hades,8.2,2021,['Special edition'],2021,93,,,,
Shovel Knight: Specter of Torment,8.2,2017,['Action'],2017,86,['Side view'],['Platform'],,
Rune Factory 4 Special,8.2,2019,"['Simulation', 'Role-playing (RPG)']",July,87,['Diagonal-down'],,,['Fantasy']
Paranormasight: The Seven Mysteries of Honjo,8.2,2023,['Adventure'],March,84,"['Text-based /', 'Spreadsheet']","['Platform', 'Puzzle elements', 'Visual novel']",['Point and select'],
Unicorn Overlord,8.2,2024,['Role-playing (RPG)'],March,89,['Diagonal-down'],"['Tactical', 'Role-playing']","['Direct control', 'Menu structures']",['Fantasy']
Splatoon 2,8.2,2017,['Action'],July,84,['Behind view'],['Shooter'],,['Fantasy']
Dead Cells,8.2,2018,['Action'],May,89,['Side view'],"['Metroidvania', 'Platform', 'Roguelike']",['Direct control'],['Fantasy']
Katana Zero,8.2,2019,['Action'],April,88,['Side view'],['Platform'],['Direct control'],['Cyberpunk / dark sci-fi']
Thank Goodness You're Here!,8.2,2024,['Adventure'],August,86,['3rd-person'],,['Direct control'],
Return of the Obra Dinn,8.2,2019,['Adventure'],October,90,['1st-person'],"['Graphic adventure', 'Puzzle elements']",['Direct control'],['Europe']
Octopath Traveler,8.2,2018,['Role-playing (RPG)'],July,84,"['Diagonal-down', 'Side view']","['Japanese-style', 'Role-playing', 'Puzzle elements']","['Direct control', 'Menu structures', 'Multiple units/characters control']","['Fantasy', 'Medieval']"
Life Is Strange: True Colors,8.2,2021,['Adventure'],September,81,['3rd-person'],"['Graphic adventure', 'Puzzle elements']","['Direct control', 'Point and select']","['Contemporary', 'Fantasy', 'North', 'America']"
Huntdown,8.2,2020,['Action'],May,88,['Side view'],"['Platform', 'Shooter']",['Direct control'],['Cyberpunk / dark sci-fi']
Love 3,8.2,2021,['Action'],December,94,['Side view'],['Platform'],,
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,8.2,2024,['Role-playing (RPG)'],January,85,['Diagonal-down'],['Roguelike'],['Direct control'],['Fantasy']
Astral Chain,8.2,2019,['Action'],August,86,"['3rd-person', 'Behind view']","['Hack and slash', 'Puzzle elements', 'Role-playing elements']",['Direct control'],['Sci-fi / futuristic']
Katamari Damacy: Reroll,8.2,2018,"['Action', 'Puzzle']",December,85,"['Behind view', 'Diagonal-down']",,['Direct control'],['Fantasy']
Cadence of Hyrule: Crypt of the NecroDancer featuring...,8.2,2019,['Action'],June,85,['Diagonal-down'],"['Music / rhythm', 'Roguelike']",,['Fantasy']
Vampire Survivors,8.2,2023,['Action'],December,87,['Diagonal-down'],['Roguelike'],['Direct control'],['Fantasy']
Dragon Quest Builders 2,8.2,2018,"['Action', 'Role-playing (RPG)']",December,86,['3rd-person'],"['Action', 'Role-playing', 'Sandbox / open world']",,['Fantasy']
Hyper Light Drifter: Special Edition,8.2,2021,['Special edition'],January,85,,,,
Just Shapes & Beats,8.2,2018,['Action'],May,88,['Side view'],"['Arcade', 'Platform', 'Shooter']",['Direct control'],
Tinykin,8.2,2022,['Action'],August,83,['3rd-person'],"['Platform', 'Puzzle elements']",['Direct control'],['Fantasy']
The Legend of Zelda: Skyward Sword,8.2,2021,['Action'],November,91,"['1st-person', 'Behind view']","['Metroidvania', 'Puzzle elements']","['Direct control', 'Motion control']",['Fantasy']
NieR: Automata (Game of the YoRHa Edition),8.2,2022,"['Role-playing (RPG)', 'Compilation', 'Special edition']",February,89,['Behind view'],"['Action', 'Role-playing', 'Hack and slash', 'Sandbox / open world']",['Direct control'],"['Post-apocalyptic', 'Sci-fi / futuristic']"
